pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
493603,2017,R,51,-0.897903922,0.677782353,1.124997942,159,-1.258513208,0.715505031,1.447688828
501593,2017,L,25,-1.060184,0.959684,1.430029193,301,-1.399377409,1.107917608,1.784863736
502188,2017,R,48,-0.97095625,0.7418,1.221893318,940,-1.388998298,0.933673085,1.673637267
543022,2017,R,252,-0.663573413,1.09597381,1.281205786,497,-0.986649395,1.212632863,1.563315544
543475,2017,R,64,-0.932698438,0.821114063,1.242640205,245,-1.326715574,0.967505738,1.642023619
543699,2017,R,30,-0.911973333,1.078296667,1.412239024,1136,-1.061839559,1.276298678,1.660253465
545363,2017,R,32,-0.7985375,0.6793625,1.048425269,255,-1.161302353,0.901766275,1.470307984
571578,2017,L,58,-0.980844828,1.006651724,1.405490758,857,-1.022326869,0.949331075,1.39512785
600526,2017,L,40,-1.17416,1.1360525,1.633789151,299,-1.055169565,0.995528763,1.450675818
607536,2017,L,518,-1.058052703,0.667083012,1.250789857,431,-1.128661485,0.583235731,1.270449001
608566,2017,R,51,-0.804392157,0.769852941,1.113427273,319,-1.252000627,1.067886207,1.645565715
621389,2017,L,104,-1.1898625,1.1668375,1.666518083,1349,-1.331853966,1.325053076,1.878723141
622072,2017,L,41,-1.010563415,1.088295122,1.485134569,1098,-1.161742024,1.378202097,1.802521997
453385,2018,L,57,-1.347270175,0.262361404,1.372578024,1274,-1.494988697,0.288070644,1.522490033
493603,2018,R,212,-0.933733491,0.493025943,1.055903789,317,-1.162943218,0.582106309,1.300494015
518516,2018,L,69,-0.637272464,0.973678261,1.16368619,633,-0.666266983,1.138448341,1.319081619
518774,2018,R,27,-0.88352963,0.867737037,1.238382886,751,-1.118715313,1.049558722,1.53398092
543359,2018,L,26,-0.851976923,0.408869231,0.945007262,551,-0.92873902,0.441986933,1.028546847
571578,2018,L,59,-0.906223729,0.799298305,1.208353933,866,-1.216938799,0.956307044,1.547728401
592791,2018,R,26,-0.7706,0.577134615,0.96276099,618,-1.128489968,0.898134628,1.442267457
607536,2018,L,158,-0.937781646,0.484427215,1.055511318,249,-1.170507661,0.485566532,1.267226516
608566,2018,R,124,-0.918182258,0.612366935,1.103653896,158,-1.293912658,0.790652532,1.516357937
621111,2018,R,27,-0.744833333,1.037748148,1.277379315,364,-1.053417582,1.205503297,1.600914364
622072,2018,L,32,-0.869625,0.91385625,1.261499459,1018,-0.957645481,1.140098527,1.488928984
