pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
434378,2017,R,60,-0.571885,1.38881,1.501947292,1975,-1.153921013,1.446386532,1.850288546
664641,2017,L,55,-1.259010909,1.488607273,1.949630755,1472,-1.057585802,1.656893071,1.965650624
519455,2017,R,59,-0.203554237,1.224349153,1.241154775,1394,-1.157917001,1.477212339,1.876946476
534812,2017,R,32,-0.101809375,1.168440625,1.172867701,1332,-0.739249399,1.19917485,1.408726373
592836,2017,R,182,-0.323485165,1.406217582,1.442945093,1324,-0.652358384,1.475837085,1.613588101
461829,2017,L,43,-0.924260465,1.335760465,1.624350155,1172,-0.821254615,1.444877778,1.661965985
458681,2017,R,42,-0.425064286,1.144969048,1.221324595,1159,-0.758431434,1.335246632,1.535611216
501822,2017,R,42,-0.230214286,1.665442857,1.681278837,1157,-0.28452446,1.502037943,1.528748557
601713,2017,R,40,-0.374085,1.3903125,1.439759853,1152,-0.557786458,1.615893229,1.709455077
425844,2017,R,98,0.082845918,1.355889796,1.358418413,1110,-0.193105135,1.492346396,1.504788145
592866,2017,R,77,-0.165902597,0.876996104,0.892550188,1106,-0.577577577,1.192771519,1.3252546
656794,2017,L,73,-0.783975342,1.444461644,1.643498335,1099,-0.645463512,1.501027934,1.633924113
545333,2017,R,45,-0.546477778,1.351515556,1.457817636,1084,-0.811775277,1.529325923,1.73142048
520980,2017,R,35,-0.448202857,1.412514286,1.481918489,1073,-0.67356306,1.444746175,1.594044763
605182,2017,R,51,-0.488076471,1.179660784,1.276643336,1060,-0.783400566,1.357506038,1.567335028
407793,2017,R,49,-0.370728571,1.136440816,1.195381697,1039,-0.785271098,1.322475626,1.53804827
488748,2017,L,39,-0.727230769,1.58324359,1.742275769,1009,-0.055512488,1.928191477,1.928990411
592314,2017,R,46,-0.398291304,1.298558696,1.358267518,970,-0.711474227,1.522790928,1.680799746
453385,2017,L,114,-1.277976316,0.757920175,1.485821812,896,-1.277164397,0.788374107,1.500893944
607219,2017,R,56,-0.4486125,1.213719643,1.293973936,894,-0.970586689,1.393090716,1.697863441
489446,2017,R,32,-0.45703125,1.254228125,1.3349029,857,-0.343105134,1.558638856,1.595956208
570632,2017,R,49,-0.798728571,1.035673469,1.307894058,852,-1.108269601,1.282915962,1.695327365
606160,2017,R,66,-0.471178788,1.124154545,1.218906433,842,-0.752372803,1.362323634,1.556274564
518452,2017,R,240,0.076752917,1.07886375,1.081590496,832,-0.669433534,1.634269231,1.766062619
605151,2017,R,51,-0.326041176,1.30912549,1.349115413,824,-0.788182843,1.341300368,1.555737404
605400,2017,R,46,-0.512076087,1.054093478,1.171893758,824,-0.884190898,1.147137015,1.448349707
593372,2017,R,46,-0.546352174,0.943515217,1.090285129,801,-0.847638826,1.146039326,1.425446497
493603,2017,R,168,-0.447443452,1.006876786,1.101819633,779,-0.57384172,1.485502054,1.59248569
641771,2017,R,84,-0.568075,1.231313095,1.356038769,773,-1.031485252,1.434678266,1.7669928
592826,2017,R,62,-0.171601613,1.253633871,1.265324068,768,-0.346456901,1.602302474,1.63933084
659275,2017,R,43,-0.440048837,1.359613953,1.429053212,759,-0.787780501,1.563523847,1.750772669
545064,2017,R,42,-0.347514286,1.024366667,1.081708485,746,-0.713608177,1.649575201,1.797313265
456501,2017,R,58,-0.529489655,1.190782759,1.303197174,699,-0.739951862,1.509433238,1.681046537
