pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
461829,2017,L,27,-1.051866667,0.763151852,1.299547703,600,-1.092950833,0.851223667,1.385324242
622072,2017,L,25,-1.100084,0.447256,1.187527994,550,-1.423124772,0.631817851,1.557073509
621389,2017,L,49,-1.255528571,0.954395918,1.577093391,549,-1.537445719,1.087330055,1.88308948
547943,2017,L,57,-0.937489474,0.755340351,1.203920911,477,-1.234065618,1.008345493,1.593636904
456501,2017,R,38,-0.591747368,0.436634211,0.735400831,465,-0.958360645,0.482322151,1.072888523
542881,2017,L,218,-0.946920642,1.020941743,1.392472889,210,-1.015009524,1.223889048,1.590015325
543734,2017,L,173,-1.038604046,0.572374566,1.185879846,161,-1.232349068,0.674437267,1.404830899
543022,2017,R,43,-0.31917907,0.708644186,0.777207733,127,-0.428316535,0.461367717,0.629535721
425844,2018,R,25,-0.714452,0.309732,0.778701209,636,-1.010266981,0.335116667,1.064397742
453281,2018,L,27,-0.897377778,0.335288889,0.957969475,701,-1.171674893,0.541685735,1.290831317
518452,2018,R,264,-0.621425379,0.228286364,0.662030336,254,-0.921088189,0.236654331,0.951004061
542881,2018,L,375,-0.8990496,0.7810584,1.190941815,278,-0.986226978,1.174450719,1.533616036
544931,2018,R,25,-0.870164,0.29032,0.917317333,403,-1.32973201,0.351306203,1.375355687
571863,2018,R,28,-0.676667857,0.4654,0.821265212,179,-1.065609497,0.785046369,1.323563902
605498,2018,L,50,-0.915902,0.725196,1.168240434,240,-1.232589167,0.849738333,1.497107641
607231,2018,R,34,-0.753335294,0.239867647,0.790601387,482,-1.009642531,0.5514361,1.150417234
607536,2018,L,197,-0.824527411,0.401303553,0.917000542,248,-1.038293952,0.408800806,1.115872945
608566,2018,R,84,-0.670420238,0.790330952,1.036381354,116,-1.19217069,0.725837069,1.395747256
640455,2018,L,27,-0.637011111,0.177822222,0.661365178,708,-0.781760255,0.018026308,0.781968058
656794,2018,L,27,-0.823751852,0.583640741,1.009556154,530,-1.000600189,0.791341321,1.275704442
670950,2018,R,27,-0.855244444,0.398281481,0.943435847,692,-1.254039017,0.491333092,1.346856364
