pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
542881,2017,L,157,-0.013605732,0.928996178,0.929095805,936,0.350810684,0.201935256,0.404778932
407793,2017,R,43,0.444893023,0.222188372,0.497290131,796,0.59731005,1.542298241,1.653923566
547943,2017,L,49,-0.047212245,0.64074898,0.642485993,611,0.104371031,1.04240802,1.047620061
543734,2017,L,123,-0.23742439,0.706315447,0.745152234,470,0.450124043,0.530831702,0.695984159
592836,2017,R,61,0.396957377,0.639139344,0.752379067,406,0.063698276,0.692312562,0.695236761
502188,2017,R,31,-0.179303226,0.847574194,0.866332304,350,0.372976857,0.473905143,0.603073644
643327,2017,R,61,0.238806557,0.778508197,0.814311724,327,0.02951682,0.811716208,0.812252698
444857,2017,R,37,0.4905,0.764456757,0.908286509,272,-0.231299632,1.151273529,1.174278612
545346,2017,R,31,0.439432258,0.606754839,0.749167634,271,0.237550554,0.338014391,0.413139195
425794,2017,R,31,0.528716129,0.480074194,0.714151228,266,0.478407143,0.890592105,1.010953853
628333,2017,R,29,0.420941379,0.07377931,0.4273582,163,-0.018100613,0.620922699,0.62118647
445276,2017,R,56,0.499733929,1.145371429,1.249643833,162,0.391512422,0.61534472,0.729336069
608717,2017,R,34,0.259158824,1.025747059,1.057979359,156,0.212195513,1.005737179,1.0278785
543022,2017,R,307,0.35387101,0.447412704,0.570440899,148,0.250345946,1.448303378,1.469780857
435221,2018,R,27,-0.128262963,0.772292593,0.782871149,355,-0.161026761,0.900870704,0.915148973
445276,2018,R,29,0.469406897,0.922117241,1.034718822,926,0.580354536,1.230860907,1.360819591
451584,2018,R,157,0.421516561,0.385794904,0.571413965,165,0.469181818,0.542649091,0.717355989
453281,2018,L,26,0.060069231,0.61035,0.613298814,598,0.105136455,0.861553177,0.86794444
475115,2018,R,29,0.222537931,0.775393103,0.806695479,141,0.250335461,0.687776596,0.731918362
493200,2018,R,76,0.266718421,0.344485526,0.43567074,269,0.244618587,0.500931599,0.557468133
493603,2018,R,59,0.442194915,0.433540678,0.619268813,65,0.572892308,0.637936923,0.857420034
518516,2018,L,62,0.25376129,0.310587097,0.401072484,658,0.260125836,0.434541033,0.506449761
542881,2018,L,463,0.181525486,0.716416631,0.739056352,355,0.14879096,0.908351412,0.920456973
543734,2018,L,127,0.046290551,0.525471654,0.527506658,106,0.066209434,0.590989623,0.594686828
543766,2018,R,430,0.408964884,0.431807442,0.594735187,426,0.384804225,0.690952582,0.790879107
571863,2018,R,47,-0.032923404,0.585946809,0.586871036,283,-0.02064311,0.773913781,0.774189046
621111,2018,R,29,0.404086207,0.639782759,0.756708425,132,0.511502273,0.744448485,0.903237578
643327,2018,R,45,-0.040273333,0.611684444,0.61300881,621,-0.117199517,0.846321095,0.85439752
