pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
543294,2017,R,30,-0.586983333,0.92725,1.097425167,849,-1.033004358,0.991598822,1.431909993
502706,2017,L,38,-1.148731579,1.093586842,1.586037964,790,-1.148650759,1.024996709,1.539485895
500779,2017,L,26,-0.851907692,1.177084615,1.45302268,778,-1.017151157,1.29820347,1.649220642
643327,2017,R,33,-0.769266667,0.576181818,0.961122621,711,-1.18271294,0.512688889,1.289053837
543208,2017,R,44,-0.713909091,0.786229545,1.061990154,595,-1.183649748,0.864636975,1.465818483
519008,2017,L,41,-1.135160976,0.614597561,1.290860412,563,-1.354752575,0.306991652,1.389099858
518715,2017,R,41,-0.990380488,0.376904878,1.059674855,543,-1.415879742,0.42475267,1.478218616
605452,2017,R,55,-0.875834545,0.763234545,1.161728506,538,-1.120684544,0.976156983,1.486208701
450212,2017,R,56,-0.825716071,0.834155357,1.173721513,369,-1.296295393,0.903485366,1.580084666
605177,2017,L,38,-1.087068421,0.924163158,1.426812985,322,-1.171604037,0.918117391,1.488487677
571927,2017,L,30,-1.20186,0.78867,1.437521418,288,-1.175494792,0.777647569,1.409440934
543734,2017,L,135,-1.348523704,0.811885926,1.574063193,227,-1.413332159,0.672288987,1.565081555
435221,2018,R,27,-1.061862963,0.613214815,1.226207715,424,-1.223970213,0.75692104,1.439108246
446899,2018,R,46,-0.862582609,-0.572426087,1.035239287,734,-1.008225886,-0.876521798,1.335967776
453265,2018,L,44,-1.042675,0.676447727,1.2428808,442,-1.351983937,0.739985068,1.541245751
453562,2018,R,35,-0.877437143,0.663202857,1.09987907,1440,-1.310366458,0.833297569,1.552882833
458006,2018,R,25,-1.151364,0.41088,1.222481671,276,-1.474761091,0.513549091,1.561618694
474463,2018,L,36,-0.920663889,0.688694444,1.149748683,337,-1.200817804,0.891441246,1.495536992
489334,2018,R,37,-0.957297297,0.720416216,1.198089162,727,-1.222045392,0.823524209,1.473630572
502190,2018,R,25,-0.77646,0.352148,0.852583336,953,-1.173429801,0.326159496,1.217915233
502706,2018,L,41,-1.081109756,1.040804878,1.500690874,1610,-1.249677329,1.135567205,1.68855154
518397,2018,L,64,-0.971798438,0.32946875,1.026129553,742,-1.189131671,0.370380863,1.245478267
519008,2018,L,42,-1.123911905,0.269104762,1.155679602,735,-1.511427483,0.17674068,1.521726094
543294,2018,R,53,-0.775460377,0.711513208,1.052420943,1300,-1.039550308,0.867408538,1.353906354
543734,2018,L,196,-1.079847959,0.530415816,1.203084599,178,-1.368441573,0.489239888,1.453268044
571670,2018,R,27,-1.002966667,0.603366667,1.170467201,502,-1.430503586,0.650457968,1.571443946
571760,2018,L,53,-1.022481132,1.01980566,1.444116079,1549,-1.172400968,1.22110439,1.692814214
571927,2018,L,59,-1.08189322,0.678615254,1.277110647,1541,-1.274085983,0.905185334,1.562899735
607200,2018,R,30,-0.805103333,0.509923333,0.953002195,438,-0.901484247,0.644377169,1.10810459
621389,2018,L,31,-1.095058065,0.748296774,1.326310758,1051,-1.257751475,0.958766794,1.581509575
643256,2018,R,25,-1.080196,-0.338536,1.13200266,417,-1.268086811,-0.57635012,1.3929191
643327,2018,R,50,-0.913974,0.430298,1.010200397,916,-1.282034061,0.487414956,1.371562858
643466,2018,L,140,-0.842795714,0.96004,1.277490281,107,-1.058709346,1.11161215,1.535104899
664192,2018,L,94,-0.721157447,0.913653191,1.163971743,1209,-0.97144483,1.005789495,1.398326703
