pitcher,year,pitcher.hand,count.coors,mean.pfx_x.coors,mean.pfx_z.coors,mean.displacement.coors,count.other,mean.pfx_x.other,mean.pfx_z.other,mean.displacement.other
571578,2017,L,63,-0.146073016,0.132401587,0.197148437,1097,-0.547165874,-0.145649039,0.566219159
468504,2017,R,34,1.255720588,0.336302941,1.299974563,974,1.064732444,0.313352875,1.109885219
593372,2017,R,27,0.784722222,0.3343,0.852962752,803,0.734689664,0.328522291,0.804795501
477132,2017,L,77,-0.174997403,0.897315584,0.914220624,764,-0.306180497,1.034328927,1.078694964
434378,2017,R,25,0.499844,0.309816,0.588073106,733,0.092,0.546890587,0.554574895
659275,2017,R,34,0.645358824,0.254370588,0.693680335,667,0.596265667,0.165932234,0.618923462
425844,2017,R,69,0.521478261,0.343121739,0.624237218,642,0.513851246,0.25886947,0.5753751
461872,2017,R,25,0.43442,0.494592,0.658287158,621,0.139313688,0.437927214,0.459552552
519455,2017,R,34,0.388335294,0.647247059,0.754806635,614,0.212391531,0.584563681,0.621952457
592314,2017,R,28,0.413614286,0.500885714,0.649587004,594,0.301061785,0.346489057,0.459012925
453385,2017,L,41,0.244134146,0.317504878,0.400513207,571,-0.174066025,-0.139063047,0.222794776
527054,2017,R,39,0.378192308,0.453194872,0.5902669,567,0.166381834,0.402171429,0.435229563
502188,2017,R,49,-0.079291837,0.676240816,0.680873584,536,-0.037657463,0.756771455,0.757707806
456501,2017,R,55,0.293996364,0.650045455,0.713437422,533,0.202187242,0.739114634,0.766270268
628317,2017,R,28,0.223725,0.742564286,0.775535037,490,0.338661429,0.936672653,0.996015674
605452,2017,R,29,0.156210345,0.773993103,0.789599263,414,0.21556201,0.67303848,0.706716192
450212,2017,R,97,0.39885567,0.42507732,0.582903571,393,0.203693639,0.404067939,0.452506351
607219,2017,R,28,0.327003571,0.324642857,0.460786632,383,0.178618538,0.205907572,0.272584868
548389,2017,R,34,0.403194118,0.805205882,0.900512082,381,0.467913648,0.702398163,0.843982441
453562,2017,R,29,0.676227586,0.44347931,0.808676479,355,0.459767705,0.505686686,0.683451071
518715,2017,R,43,0.575162791,0.461181395,0.737224874,325,0.642953086,0.568603395,0.858311419
489334,2017,R,26,0.312142308,0.460034615,0.555935848,316,-0.038351266,0.299197152,0.301645082
592351,2017,R,202,0.341818812,0.707511386,0.785755981,301,0.083416611,0.624903987,0.630446924
493603,2017,R,210,1.29027619,-0.058552857,1.291604074,297,1.425498316,-0.020017172,1.425638852
607536,2017,L,393,-0.065166412,0.565403308,0.569146345,275,-0.234265455,0.590008364,0.634815069
456701,2017,R,33,0.225951515,0.498675758,0.547477487,252,0.221417063,0.633159127,0.670757778
608371,2017,R,34,0.603947059,0.738273529,0.953834291,243,0.372430041,0.470711934,0.600228174
622608,2017,R,264,0.608315909,0.138597727,0.623905101,211,0.474398095,0.024194286,0.475014648
518813,2017,R,240,0.420152917,0.367132083,0.55795559,202,0.24904703,0.281693069,0.375999213
445197,2017,L,170,-0.240775882,0.48605,0.542418315,195,-0.526035385,0.494489744,0.721964911
600526,2017,L,26,0.117888462,0.3202,0.341212147,169,-0.421478698,0.022049704,0.42205507
623184,2017,R,192,0.559639063,0.201213542,0.594712342,150,0.458986667,0.208803333,0.504249534
543475,2017,R,103,0.237307767,0.735271845,0.772618704,148,0.065731757,0.65785473,0.661130478
621389,2017,L,27,0.149174074,0.215940741,0.262456297,116,-0.08607931,0.030667241,0.091379031
425844,2018,R,37,0.486918919,0.125394595,0.502805965,518,0.602633398,0.218560425,0.641042644
453562,2018,R,38,0.437081579,0.451342105,0.628291336,614,0.441087948,0.474073453,0.647537039
468504,2018,R,32,1.00835625,-0.072325,1.010946701,1311,1.114095118,0.200015561,1.131907309
475115,2018,R,49,0.349789796,-0.118714286,0.369385954,986,0.429177282,-0.004819675,0.429204344
477132,2018,L,48,0.193727083,0.93294375,0.95284533,927,0.362255016,0.954973355,1.021373
493603,2018,R,231,1.171973593,-0.05018658,1.173047653,364,1.485906593,0.095984615,1.489003509
502042,2018,R,44,0.301272727,-0.06245,0.307677199,999,0.415724424,-0.027788288,0.416652116
